table,field,required,type,description,schema
DRUG_STRENGTH,invalid_reason,No,VARCHAR(1),"Reason the concept was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value.",vocab
COHORT,cohort_definition_id,Yes,INTEGER,,results
COHORT,subject_id,Yes,INTEGER,,results
COHORT,cohort_start_date,Yes,DATE,,results
COHORT,cohort_end_date,Yes,DATE,,results
COHORT_DEFINITION,cohort_definition_id,Yes,INTEGER,"This is the identifier given to the cohort, usually by the ATLAS application",results
COHORT_DEFINITION,cohort_definition_name,Yes,VARCHAR(255),A short description of the cohort,results
COHORT_DEFINITION,cohort_definition_description,No,VARCHAR(MAX),A complete description of the cohort.,results
COHORT_DEFINITION,definition_type_concept_id,Yes,INTEGER,Type defining what kind of Cohort Definition the record represents and how the syntax may be executed.,results
COHORT_DEFINITION,cohort_definition_syntax,No,VARCHAR(MAX),Syntax or code to operationalize the Cohort Definition.,results
COHORT_DEFINITION,subject_concept_id,Yes,INTEGER,"This field contains a Concept that represents the domain of the subjects that are members of the cohort (e.g., Person, Provider, Visit).",results
COHORT_DEFINITION,cohort_initiation_date,No,DATE,A date to indicate when the Cohort was initiated in the COHORT table.,results
PACK_CONTENT,pack_concept_id,Yes,INTEGER,The concept representing the pack,vocab
PACK_CONTENT,drug_concept_id,Yes,INTEGER,The concept representing the individual drug component inside the pack,vocab
PACK_CONTENT,amount,No,INTEGER,The number of the above Drug components in the Pack.,vocab
PACK_CONTENT,box_size,No,INTEGER,The number of Packs in a Drug Box.,vocab
CONCEPT_METADATA,concept_id,No,INTEGER,Foreign key to the concept table,vocab
CONCEPT_METADATA,concept_category,No,VARCHAR(20),"Accepted values: NULL, A, SA, SC, M, V

A - attribute of a clinical event rather than the event itself (e.g., Dose Form, Brand Name) in a reference terminology (e.g., RxNorm Extension). Non-standard by design.

SA - attribute of a clinical event in a source vocabulary. Should be mapped to A in the reference terminology.

SC - source classification term in traditionally non-standard vocabularies.

M - metadata (e.g. SNOMED relationships and models).

V - void (formerly 'junk') codes (cannot be mapped due to incompatibility with OMOP model). Include flavors of NULL, codes not in scope, etc.",vocab
CONCEPT_METADATA,reuse_status,No,VARCHAR(20),"Determines if code is reused or not; Reuse can be a complete change of semantics of code depending on its utilization time.  Accepted values: NULL, R, RF, RP

NULL - reuse either not assessed or not detected

R - Designates that code is Reusable; no information available on temporal context of Reuse; state of name in concept table is undetermined;

RF -Designates that code is Reused in Future; current state of concept in concept table displays historically valid attributes (name, validity dates) provided by source

RP - Designates that code is Reused in Past; current state of concept in concept table displays actual valid attributes (name, validity dates) provided by source",vocab
CONCEPT_RELATIONSHIP_METADATA,concept_id_1,Yes,INTEGER,,vocab
CONCEPT_RELATIONSHIP_METADATA,concept_id_2,Yes,INTEGER,,vocab
CONCEPT_RELATIONSHIP_METADATA,relationship_id,Yes,VARCHAR(20),"concept_id_1, concept_id_2, and relationship_id should be used together as the foreign key to the concept_relationship table as all three values are needed to identify a singular concept relationship.",vocab
CONCEPT_RELATIONSHIP_METADATA,relationship_predicate_id,No,VARCHAR(20),"This is the measure of mapping precision. Accepted values are exactMatch, broadMatch, narrowMatch",vocab
CONCEPT_RELATIONSHIP_METADATA,relationship_group,No,INTEGER,"Accepted values: 1, 2, 3, NULL

An indicator of a logical group of relationships designed to minimize unnecessary Variable-Value permutations or strictly link several Variables(Events);",vocab
CONCEPT_RELATIONSHIP_METADATA,mapping_source,No,VARCHAR(50),"Indicator of what library(-ies) and/or tool(s) was/were used to automate mapping. This is typically libraries and reference sets (UMLS, MEDDRA - SNOMED, OHDSI; etc) or tools (USAGI, BuilderRxE, LLM; etc).",vocab
CONCEPT_RELATIONSHIP_METADATA,confidence,No,FLOAT,This is a number from 0-1 that indicates the strength of the mapping. ,vocab
CONCEPT_RELATIONSHIP_METADATA,mapping_tool,No,VARCHAR(50),"This is the indicator of mapping approach with its curation status (controlled/curated or uncontrolled/uncurated).

AM-lib_C - stands for automapping via library, curated

AM-lib_U - stands for automapping via library, uncurated

AM-tool_C - stands for automapping via tool, curated

AM-tool_U - stands for automapping via tool, uncurated

MM_C - stands for manual mapping, curated

MM_U - stands for manual mapping, uncurated

NULL- mapping approach is not specified, likely manual;",vocab
CONCEPT_RELATIONSHIP_METADATA,mapper,No,VARCHAR(50),The initials of the person who performed the mapping.,vocab
CONCEPT_RELATIONSHIP_METADATA,reviewer,No,VARCHAR(50),The initials of the person who performed the review,vocab
